x,y,vx,vy,t
0.000000,0.000000,86.602540,50.000000,0.000000
16.359340,9.256385,77.172288,42.704208,0.200000
30.937293,17.134584,68.768906,36.202862,0.400000
43.927835,23.784670,61.280579,30.409456,0.600000
55.503821,29.340374,54.607665,25.246901,0.800000
65.819285,33.920864,48.661372,20.646503,1.000000
75.011486,37.632332,43.362578,16.547047,1.200000
83.202737,40.569407,38.640776,12.893986,1.400000
90.502034,42.816414,34.433136,9.638711,1.600000
97.006501,44.448495,30.683671,6.737907,1.800000
102.802689,45.532610,27.342490,4.152975,2.000000
107.967723,46.128428,24.365134,1.849519,2.200000
112.570331,46.289120,21.711986,-0.203111,2.400000
116.671756,46.062067,19.347742,-2.032228,2.600000
120.326571,45.489492,17.240944,-3.662170,2.800000
123.583409,44.609018,15.363557,-5.114625,3.000000
126.485607,43.454173,13.690601,-6.408921,3.200000
129.071780,42.054834,12.199816,-7.562280,3.400000
131.376342,40.437624,10.871363,-8.590048,3.600000
133.429958,38.626267,9.687568,-9.505901,3.800000
135.259953,36.641904,8.632677,-10.322026,4.000000
136.890678,34.503374,7.692655,-11.049282,4.200000
138.343831,32.227465,6.854993,-11.697346,4.400000
139.638749,29.829135,6.108544,-12.274842,4.600000
140.792661,27.321715,5.443378,-12.789454,4.800000
141.820923,24.717085,4.850642,-13.248029,5.000000
142.737216,22.025829,4.322450,-13.656669,5.200000
143.553733,19.257380,3.851773,-14.020812,5.400000
144.281338,16.420144,3.432349,-14.345303,5.600000
144.929713,13.521612,3.058597,-14.634459,5.800000
145.507487,10.568457,2.725542,-14.892130,6.000000
146.022345,7.566628,2.428755,-15.121742,6.200000
146.481140,4.521425,2.164285,-15.326351,6.400000
146.889977,1.437571,1.928613,-15.508680,6.600000
