x,y,vx,vy,t
0.000000,0.000000,86.602540,50.000000,0.000000
17.310528,9.798313,86.502755,47.983518,0.200000
34.601110,19.193562,86.403084,45.969360,0.400000
51.871769,28.186212,86.303528,43.957522,0.600000
69.122529,36.776726,86.204087,41.948003,0.800000
86.353411,44.965567,86.104761,39.940798,1.000000
103.564441,52.753199,86.005549,37.935907,1.200000
120.755639,60.140084,85.906451,35.933326,1.400000
137.927029,67.126683,85.807468,33.933052,1.600000
155.078633,73.713458,85.708598,31.935083,1.800000
172.210475,79.900870,85.609842,29.939416,2.000000
189.322578,85.689378,85.511201,27.946048,2.200000
206.414963,91.079442,85.412673,25.954978,2.400000
223.487654,96.071522,85.314258,23.966201,2.600000
240.540674,100.666075,85.215957,21.979716,2.800000
257.574045,104.863561,85.117769,19.995520,3.000000
274.587789,108.664436,85.019694,18.013610,3.200000
291.581930,112.069157,84.921732,16.033983,3.400000
308.556489,115.078181,84.823883,14.056638,3.600000
325.511491,117.691964,84.726147,12.081571,3.800000
342.446956,119.910961,84.628524,10.108780,4.000000
359.362908,121.735628,84.531012,8.138262,4.200000
376.259368,123.166417,84.433614,6.170014,4.400000
393.136361,124.203784,84.336327,4.204034,4.600000
409.993907,124.848182,84.239153,2.240319,4.800000
426.832029,125.100063,84.142090,0.278868,5.000000
443.650750,124.959880,84.045140,-1.680324,5.200000
460.450093,124.428084,83.948301,-3.637259,5.400000
477.230078,123.505126,83.851574,-5.591939,5.600000
493.990729,122.191458,83.754958,-7.544366,5.800000
510.732069,120.487530,83.658453,-9.494544,6.000000
527.454118,118.393791,83.562060,-11.442475,6.200000
544.156900,115.910690,83.465778,-13.388161,6.400000
560.840437,113.038676,83.369606,-15.331605,6.600000
577.504750,109.778197,83.273546,-17.272810,6.800000
594.149862,106.129701,83.177596,-19.211779,7.000000
610.775796,102.093634,83.081757,-21.148513,7.200000
627.382572,97.670444,82.986028,-23.083016,7.400000
643.970214,92.860577,82.890409,-25.015290,7.600000
660.538743,87.664477,82.794901,-26.945337,7.800000
677.088182,82.082590,82.699502,-28.873161,8.000000
693.618551,76.115361,82.604214,-30.798763,8.200000
710.129875,69.763233,82.509035,-32.722146,8.400000
726.622173,63.026650,82.413966,-34.643314,8.600000
743.095468,55.906055,82.319007,-36.562267,8.800000
759.549783,48.401890,82.224157,-38.479010,9.000000
775.985139,40.514598,82.129416,-40.393544,9.200000
792.401557,32.244620,82.034785,-42.305872,9.400000
808.799060,23.592396,81.940262,-44.215997,9.600000
825.177669,14.558368,81.845849,-46.123921,9.800000
841.537406,5.142974,81.751544,-48.029646,10.000000
